epoch,train_loss,train_acc,val_acc
0,1.7244337042617799,35.14,37.87
1,1.3087774561309815,52.71,56.34
2,1.0526462891769408,62.448,60.59
3,0.896254616317749,68.52,66.45
4,0.7985552429389954,72.282,71.45
5,0.7256583031082153,74.87,72.74
6,0.6770512857055664,76.324,71.04
7,0.6308867453956604,78.268,75.99
8,0.6062913702011108,78.99,74.89
9,0.5749316849327087,80.2,76.31
10,0.5606488519573212,80.528,76.75
11,0.542229936132431,81.344,80.12
12,0.5244616786956787,82.016,78.37
13,0.5050003603935241,82.472,78.76
14,0.49221051628112794,83.018,80.32
15,0.4809923361968994,83.53,78.18
16,0.4715355983543396,83.698,76.93
17,0.4625341654968262,83.944,80.88
18,0.4511302384376526,84.274,82.03
19,0.4438621633720398,84.602,74.3
20,0.43451318881988527,84.962,82.01
21,0.4289785350036621,85.07,81.66
22,0.42073280933380125,85.476,77.36
23,0.4122363722229004,85.856,80.62
24,0.4146341509628296,85.796,81.13
25,0.4024780873680115,86.072,83.27
26,0.3986080107688904,86.088,82.83
27,0.399665280380249,86.102,81.01
28,0.3878604021549225,86.516,82.44
29,0.38724276056289675,86.716,80.84
30,0.37996514402389525,86.832,81.72
31,0.3717013789367676,86.972,82.7
32,0.3736090922355652,87.14,78.11
33,0.3684570427799225,87.294,81.63
34,0.3641621336269379,87.42,82.19
35,0.3633738484477997,87.35,80.55
36,0.3558732152366638,87.778,81.39
37,0.35632598286628725,87.722,83.89
38,0.3558047485923767,87.572,83.71
39,0.35050966644287107,87.8,80.69
40,0.35099255697250364,87.982,82.95
41,0.343244756860733,88.124,82.31
42,0.3445198673295975,88.024,82.2
43,0.3386437046337128,88.338,83.3
44,0.3430797784328461,88.12,82.57
45,0.3355918072605133,88.318,82.63
46,0.33632599399089813,88.35,84.58
47,0.3336441840648651,88.348,85.43
48,0.3333565287733078,88.384,81.01
49,0.32838305904388426,88.544,85.37
50,0.32410315895080566,88.74,84.58
51,0.32314541162490845,88.662,83.0
52,0.32229670353889467,88.828,83.64
